Date;Time;Serial no.;Vmeasure0;Imeasure0;Vmeasure1;Imeasure1;Vmeasure2;Imeasure2;Vmeasure3;Imeasure3;Vmeasure4;Imeasure4;Vmeasure5;Imeasure5;Vmeasure6;Imeasure6;Vmeasure7;Imeasure7;Temperature
2015-06-17;16:25:13.002;720510;0.202265;2.80571e-09;0.187974;3.34253e-09;0.160025;3.49252e-09;0.17957;4.01788e-09;0.181037;4.53203e-09;0.0480033;3.22332e-09;0.18156;3.28906e-09;0.227846;3.94949e-09;31.0
2015-06-17;16:25:13.604;720510;0.202265;2.80587e-09;0.187974;3.3427e-09;0.160025;3.49187e-09;0.17957;4.01789e-09;0.181037;4.53372e-09;0.0480033;3.2237e-09;0.18156;3.28777e-09;0.227846;3.94964e-09;31.0
2015-06-17;16:25:14.216;720510;0.202265;2.80623e-09;0.187974;3.34349e-09;0.160025;3.49279e-09;0.17957;4.01652e-09;0.181037;4.53149e-09;0.0480033;3.22244e-09;0.18156;3.28902e-09;0.227846;3.94927e-09;31.0
2015-06-17;16:25:14.832;720510;0.202265;2.80538e-09;0.187974;3.34297e-09;0.160025;3.49216e-09;0.17957;4.01696e-09;0.181037;4.53209e-09;0.0480033;3.22289e-09;0.18156;3.28742e-09;0.227846;3.95118e-09;31.0
2015-06-17;16:25:15.430;720510;0.202265;2.80329e-09;0.187974;3.34194e-09;0.160025;3.49275e-09;0.17957;4.01898e-09;0.181037;4.53103e-09;0.0480033;3.2215e-09;0.18156;3.28746e-09;0.227846;3.95113e-09;31.0
2015-06-17;16:25:16.049;720510;0.202265;2.80179e-09;0.187974;3.34184e-09;0.160025;3.49151e-09;0.17957;4.02037e-09;0.181037;4.53015e-09;0.0480033;3.22266e-09;0.18156;3.28523e-09;0.227846;3.95187e-09;31.0
2015-06-17;16:25:16.937;720510;0.202265;2.80258e-09;0.187974;3.34102e-09;0.160025;3.48944e-09;0.17957;4.01877e-09;0.181037;4.52838e-09;0.0480033;3.22259e-09;0.18156;3.28146e-09;0.227846;3.95282e-09;31.0
2015-06-17;16:25:17.618;720510;0.202265;2.80221e-09;0.187974;3.33986e-09;0.160025;3.48804e-09;0.17957;4.01771e-09;0.181037;4.52777e-09;0.0480033;3.22189e-09;0.18156;3.27706e-09;0.227846;3.95261e-09;31.0
2015-06-17;16:25:18.269;720510;0.202265;2.80086e-09;0.187974;3.34189e-09;0.160025;3.48754e-09;0.17957;4.01832e-09;0.181037;4.52895e-09;0.0480033;3.2216e-09;0.18156;3.27504e-09;0.227846;3.95245e-09;31.0
2015-06-17;16:25:18.880;720510;0.202265;2.80106e-09;0.187974;3.34241e-09;0.160025;3.49022e-09;0.17957;4.01801e-09;0.181037;4.52818e-09;0.0480033;3.22078e-09;0.18156;3.27771e-09;0.227846;3.95299e-09;31.0
2015-06-17;16:25:19.487;720510;0.202265;2.80083e-09;0.187974;3.34328e-09;0.160025;3.49047e-09;0.17957;4.01665e-09;0.181037;4.52806e-09;0.0480033;3.21898e-09;0.18156;3.27776e-09;0.227846;3.95199e-09;31.0
2015-06-17;16:25:20.099;720510;0.202265;2.79928e-09;0.187974;3.34341e-09;0.160025;3.48824e-09;0.17957;4.0166e-09;0.181037;4.5292e-09;0.0480033;3.21912e-09;0.18156;3.27893e-09;0.227846;3.95196e-09;31.0
2015-06-17;16:25:20.713;720510;0.202265;2.79875e-09;0.187974;3.34313e-09;0.160025;3.48782e-09;0.17957;4.01602e-09;0.181037;4.53018e-09;0.0480033;3.22041e-09;0.18156;3.27811e-09;0.227846;3.95103e-09;31.0
2015-06-17;16:25:21.313;720510;0.202265;2.79651e-09;0.187974;3.34473e-09;0.160025;3.48609e-09;0.17957;4.01703e-09;0.181037;4.5317e-09;0.0480033;3.22074e-09;0.18156;3.27964e-09;0.227846;3.95245e-09;31.0
2015-06-17;16:25:21.929;720510;0.202265;2.66047e-09;0.187974;3.34479e-09;0.160025;3.48536e-09;0.17957;4.01707e-09;0.181037;4.52872e-09;0.0480033;3.21936e-09;0.18156;3.27962e-09;0.227846;3.953e-09;31.0
2015-06-17;16:25:22.610;720510;0.202265;2.5591e-09;0.187974;3.34442e-09;0.160025;3.48595e-09;0.17957;4.01628e-09;0.181037;4.52892e-09;0.0480033;3.22009e-09;0.18156;3.2813e-09;0.227846;3.95332e-09;31.0
2015-06-17;16:25:23.719;720510;0.205026;2.37455e-09;0.187974;3.34591e-09;0.160025;3.48565e-09;0.17957;4.01543e-09;0.181037;4.52356e-09;0.0480033;3.22005e-09;0.18156;3.28192e-09;0.227846;3.95303e-09;31.0
2015-06-17;16:25:24.358;720510;0.21799;2.29063e-09;0.187974;3.34491e-09;0.160025;3.4864e-09;0.17957;4.01585e-09;0.181037;4.52188e-09;0.0480033;3.21921e-09;0.18156;3.28436e-09;0.227846;3.95373e-09;31.0
2015-06-17;16:25:24.971;720510;0.22239;2.17426e-09;0.187974;3.34583e-09;0.160025;3.48324e-09;0.17957;4.01879e-09;0.181037;4.5221e-09;0.0480033;3.22021e-09;0.18156;3.28458e-09;0.227846;3.95565e-09;31.0
2015-06-17;16:25:25.571;720510;21.0084;3.36536e-07;0.187974;3.34861e-09;0.160025;3.48193e-09;0.17957;4.01868e-09;0.181037;4.52203e-09;0.0480033;3.22072e-09;0.18156;3.28456e-09;0.227846;3.95663e-09;31.0
2015-06-17;16:25:26.179;720510;27.6287;3.334e-07;0.187974;3.34691e-09;0.160025;3.48333e-09;0.17957;4.01901e-09;0.181037;4.52194e-09;0.0480033;3.2217e-09;0.18156;3.28495e-09;0.227846;3.95542e-09;31.0
2015-06-17;16:25:26.787;720510;33.2347;3.3894e-07;0.187974;3.34745e-09;0.160025;3.4814e-09;0.17957;4.01886e-09;0.181037;4.52214e-09;0.0480033;3.22415e-09;0.18156;3.28424e-09;0.227846;3.95767e-09;31.0
2015-06-17;16:25:27.400;720510;40;3.33836e-07;0.187974;3.34842e-09;0.160025;3.4808e-09;0.17957;4.01947e-09;0.181037;4.51982e-09;0.0480033;3.22363e-09;0.18156;3.28341e-09;0.227846;3.95871e-09;31.0
