Date;Time;Serial no.;Vmeasure6;Imeasure6;Temperature,
2015-06-09;17:05:36.213;720510;0.419604;1.17549e-38;31.0,
2015-06-09;17:05:36.413;720510;0.417077;1.17549e-38;31.0,
2015-06-09;17:05:36.622;720510;0.414522;1.17549e-38;31.0,
2015-06-09;17:05:36.826;720510;0.410751;1.17549e-38;31.0,
2015-06-09;17:05:37.033;720510;0.408211;1.17549e-38;31.0,
2015-06-09;17:05:37.227;720510;0.40578;1.17549e-38;31.0,
2015-06-09;17:05:37.438;720510;0.403363;1.17549e-38;31.0,
2015-06-09;17:05:37.632;720510;0.399859;1.17549e-38;31.0,
2015-06-09;17:05:37.843;720510;0.397543;1.17549e-38;31.0,
2015-06-09;17:05:38.039;720510;0.395245;1.17549e-38;31.0,
2015-06-09;17:05:38.238;720510;0.393042;1.17549e-38;31.0,
2015-06-09;17:05:38.447;720510;0.390846;1.17549e-38;31.0,
2015-06-09;17:05:38.646;720510;0.387618;1.17549e-38;31.0,
2015-06-09;17:05:38.847;720510;0.385416;1.17549e-38;31.0,
2015-06-09;17:05:39.060;720510;0.382297;1.17549e-38;31.0,
2015-06-09;17:05:39.253;720510;0.381252;1.17549e-38;31.0,
2015-06-09;17:05:39.460;720510;0.378144;1.17549e-38;31.0,
2015-06-09;17:05:39.660;720510;0.376107;1.17549e-38;31.0,
2015-06-09;17:05:39.873;720510;0.374073;1.17549e-38;31.0,
2015-06-09;17:05:40.071;720510;0.371162;1.17549e-38;31.0,
2015-06-09;17:05:40.271;720510;0.37016;1.17549e-38;31.0,
2015-06-09;17:05:41.007;720510;0.361731;1.17549e-38;31.0,
2015-06-09;17:05:41.667;720510;0.355264;1.17549e-38;31.0,
2015-06-09;17:05:41.891;720510;0.352634;1.5625e-11;31.0,
2015-06-09;17:05:42.102;720510;0.350896;4.61464e-11;31.0,
2015-06-09;17:05:42.306;720510;0.349159;9.01633e-11;31.0,
2015-06-09;17:05:42.503;720510;0.3474;1.04379e-10;31.0,
2015-06-09;17:05:42.712;720510;0.345604;1.32149e-10;31.0,
2015-06-09;17:05:42.911;720510;0.343895;1.72197e-10;31.0,
2015-06-09;17:05:43.107;720510;0.341522;1.97864e-10;31.0,
2015-06-09;17:05:43.320;720510;0.345567;2.22735e-10;31.0,
2015-06-09;17:05:43.523;720510;0.350265;2.46835e-10;31.0,
2015-06-09;17:05:43.717;720510;0.352742;2.70187e-10;31.0,
2015-06-09;17:05:43.916;720510;0.35793;2.8159e-10;31.0,
